date,# of CTN,Lag_7
2023-08-21,1491.0,0.0
2023-08-22,1167.0,0.0
2023-08-23,1609.0,0.0
2023-08-24,1787.0,0.0
2023-08-25,992.0,0.0
2023-08-26,995.0,0.0
2023-08-27,0.0,0.0
2023-08-28,873.0,1491.0
2023-08-29,1317.0,1167.0
2023-08-30,1128.0,1609.0
2023-08-31,1876.0,1787.0
2023-09-01,0.0,992.0
2023-09-02,0.0,995.0
2023-09-03,0.0,0.0
2023-09-04,2598.0,873.0
2023-09-05,2558.0,1317.0
2023-09-06,2076.0,1128.0
2023-09-07,1908.0,1876.0
2023-09-08,0.0,0.0
2023-09-09,224.0,0.0
2023-09-10,0.0,0.0
2023-09-11,4397.0,2598.0
2023-09-12,1520.0,2558.0
2023-09-13,2112.0,2076.0
2023-09-14,2374.0,1908.0
2023-09-15,2173.0,0.0
2023-09-16,39.0,224.0
2023-09-17,0.0,0.0
2023-09-18,1317.0,4397.0
2023-09-19,2050.0,1520.0
2023-09-20,2413.0,2112.0
2023-09-21,1812.0,2374.0
2023-09-22,1572.0,2173.0
2023-09-23,34.0,39.0
2023-09-24,0.0,0.0
2023-09-25,2046.0,1317.0
2023-09-26,1078.0,2050.0
2023-09-27,1257.0,2413.0
2023-09-28,1712.0,1812.0
2023-09-29,22.0,1572.0
2023-09-30,0.0,34.0
2023-10-01,0.0,0.0
2023-10-02,0.0,2046.0
2023-10-03,62.0,1078.0
2023-10-04,361.0,1257.0
2023-10-05,1824.0,1712.0
2023-10-06,2095.0,22.0
2023-10-07,94.0,0.0
2023-10-08,0.0,0.0
2023-10-09,2777.0,0.0
2023-10-10,3161.0,62.0
2023-10-11,1535.0,361.0
2023-10-12,2846.0,1824.0
2023-10-13,1981.0,2095.0
2023-10-14,77.0,94.0
2023-10-15,0.0,0.0
2023-10-16,1338.0,2777.0
2023-10-17,2464.0,3161.0
2023-10-18,2157.0,1535.0
2023-10-19,2104.0,2846.0
2023-10-20,1804.0,1981.0
2023-10-21,39.0,77.0
2023-10-22,0.0,0.0
2023-10-23,0.0,1338.0
2023-10-24,1715.0,2464.0
2023-10-25,1745.0,2157.0
2023-10-26,1539.0,2104.0
2023-10-27,1210.0,1804.0
2023-10-28,42.0,39.0
2023-10-29,0.0,0.0
2023-10-30,1096.0,0.0
2023-10-31,1158.0,1715.0
2023-11-01,1751.0,1745.0
2023-11-02,2383.0,1539.0
2023-11-03,2694.0,1210.0
2023-11-04,35.0,42.0
2023-11-05,0.0,0.0
2023-11-06,3079.0,1096.0
2023-11-07,2079.0,1158.0
2023-11-08,1934.0,1751.0
2023-11-09,2345.0,2383.0
2023-11-10,1711.0,2694.0
2023-11-11,13.0,35.0
2023-11-12,0.0,0.0
2023-11-13,1600.0,3079.0
2023-11-14,1991.0,2079.0
2023-11-15,2063.0,1934.0
2023-11-16,2222.0,2345.0
2023-11-17,1109.0,1711.0
2023-11-18,16.0,13.0
2023-11-19,0.0,0.0
2023-11-20,1272.0,1600.0
2023-11-21,1073.0,1991.0
2023-11-22,2371.0,2063.0
2023-11-23,1309.0,2222.0
2023-11-24,1244.0,1109.0
2023-11-25,21.0,16.0
2023-11-26,0.0,0.0
2023-11-27,1329.0,1272.0
2023-11-28,870.0,1073.0
2023-11-29,1326.0,2371.0
2023-11-30,1005.0,1309.0
2023-12-01,1556.0,1244.0
2023-12-02,0.0,21.0
2023-12-03,0.0,0.0
2023-12-04,2854.0,1329.0
2023-12-05,2728.0,870.0
2023-12-06,3359.0,1326.0
2023-12-07,2726.0,1005.0
2023-12-08,1665.0,1556.0
2023-12-09,44.0,0.0
2023-12-10,0.0,0.0
2023-12-11,1539.0,2854.0
2023-12-12,1612.0,2728.0
2023-12-13,1372.0,3359.0
